"global_category","indicator_name","value","count","Extreme events not mentioned","Mentioned: no specified","Mentioned: (flash) floods"," droughts","#N/A"," storms"," extreme heat/heat waves"," forest fires","Mentioned: droughts"," heavy precipitation","Mentioned: storms"," landslides"," avalanges"," heat waves"," avalanches"," glacial lake outburst floods"," vector born diseases/epidemics"," hail"," el Nino/la Nina","Mentioned: extreme heat/heat waves"," cold waves","Mentioned: floods","Mentioned: not specified","Extreme weather mentioned as climate risk (rainstorms"," floods"," dust storms)","Extreme weather not mentioned"," vector-borne diseases","Mentioned: el Nino/la Nina","Mentioned: heat and cold waves"," storm surge","Mentioned: increasingly frequent and intense rainfall and extreme temperatures","Mentioned: will affect tourism"," fisheries","No future losses indicated","GlobalScore"
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms, landslides, avalanges",2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, storms, vector born diseases/epidemics",2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, hail",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, storms,",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, storms, heavy precipitation, landslides",2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, storms, landslides",2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, storms, landslides, forest fires, glacial lake outburst floods",2,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"Adaptation","Climate risks: extreme weather","Mentioned: droughts, storms",2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","Mentioned: droughts, storms, el Nino/la Nina",2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: extreme heat/heat waves, vector born diseases/epidemics, cold waves",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: floods, droughts, storms, landslides, forest fires",2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6
"Adaptation","Climate risks: extreme weather","Mentioned: not specified",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adaptation","Climate risks: extreme weather","Mentioned: storms, heavy precipitation",2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","Mentioned: storms, heavy precipitation, hail",2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Extreme weather mentioned as climate risk (rainstorms, floods, dust storms)",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Extreme weather not mentioned",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, droughts, heavy precipitation, extreme heat/heat waves",1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, extreme heat/heat waves",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","Mentioned: (flash) floods, heavy precipitation, extreme heat/heat waves",1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: droughts, heat waves, vector-borne diseases",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Adaptation","Climate risks: extreme weather","Mentioned: el Nino/la Nina",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
"Adaptation","Climate risks: extreme weather","Mentioned: heat and cold waves, storm surge",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
"Adaptation","Climate risks: extreme weather","Mentioned: increasingly frequent and intense rainfall and extreme temperatures",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Adaptation","Climate risks: extreme weather","Mentioned: will affect tourism, fisheries",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
"Adaptation","Climate risks: extreme weather","No Document Submitted",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adaptation","Climate risks: extreme weather","No future losses indicated",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
