"global_category","indicator_name","value","count","Not Specified","Not Specified ","<p>""Japan establishes and implements the JCM in order both to appropriately evaluate contributions from Japan to GHG emission reductions or removals in a quantitative manner achieved through the diffusion of low carbon technologies"," products"," systems"," services"," and infrastructure as well as implementation of mitigation actions in developing countries"," and to use them to achieve Japan&rsquo;s emission reduction target. Apart from contributions achieved through private-sector based projects"," accumulated emission reductions or removals by FY 2030 through governmental JCM programs to be undertaken within the government's annual budget are estimated to be ranging from 50 to 100 million t-CO<sub>2</sub>. As part of international contributions other than the JCM"," worldwide emission reduction potential in FY 2030 through the diffusion of leading technologies by Japanese industries&rsquo; actions is estimated to be at least 1 billion t-CO<sub>2</sub>.</p> <p>Japan will also actively contribute internationally towards"," <em>inter alia</em>"," human resource development and promotion of development and diffusion of technologies relating to emission reductions in developing countries.""</p>","CDM","REDD+","<p>""certified emission reduction units (CER&rsquo;s) delivered by CDM project"," programmes and activities""</p>","<p>""le MDP""</p> <p>CDM</p>","<p>&ldquo;M&eacute;canisme de D&eacute;veloppement Propre (MDP)"," REDD+&rdquo;</p> <p>Clean Development Mechanism (CDM)"," REDD+</p>","<p><span style=""text-decoration: underline;"">In the case of collective delivery with the EU:</span> EU ETS only</p><p><span style=""text-decoration: underline;"">In the case of an individual commitment:</span> ""Norway will continue to use market based mechanisms under the UNFCCC."" ""Norway will seek an agreement of accounting for Norway&rsquo;s participation in the EU ETS.""</p>","<p>CDM</p>","<ul> <li>""Clean Development Mechanism (CDM)</li> <li>Nationally Appropriate Mitigation Action (NAMA)""</li> </ul>","Angola has already engaged with Clean Development Mechanism by submitting a number of important large scale projects.","CDM and other mechanisms under the UNFCCC process","CDM or other climate market mechanisms","Clean Development Mechanism"," new market and non-market based mechanisms"," and credited NAMAs.","Not Applicable","Use of carbon credits with high environmental standards: Switzerland will use carbon credits from international mechanisms that deliver real"," permanent"," additional and verified mitigation outcomes and meet high environmental standards. Quality criteria which are at least in line with those of Switzerland's current national legislation will be applied. Switzerland intends to use the CDM. In this context"," Switzerland supports the revision of its modalities and procedures to fit in the new climate regime. Switzerland also intends to use"," as appropriate"," the new market mechanisms under the Convention (NMM"," activities under the FVA).","""Clean Development Mechanism (CDM) and other market mechanisms ""","""Costa Rica intends to achieve the mitigation targets of this NDC"," as well as the goal of being a net-zero emissions country by 2050 through domestic efforts to reduce gross emissions of greenhouse gases and maximize the potential for sequestration of greenhouse gases. natural sinks. The country will continue to participate in different forms of voluntary international cooperation"," including under Article 6 of the Paris Agreement"," as a complement to its domestic efforts to adapt and resilient decarbonization.""","""The agreements govern the transfers of mitigation outcomes and their use and define the method for corresponding adjustment. Towards a multi-year target (2021-2030)"," the total sum of the mitigation outcomes first-transferred or used towards NDC achievement over that period will be reflected; towards a single year target (2030) the average thereof.""","""The emission reductions generated by a market mechanism will not be used by the country to demonstrate compliance with the NDC-RD"," unless the country that transfers technology with market mechanisms does not use them to demonstrate compliance with its own NDC.""","""The unconditional mitigation objectives in Uruguay's NDC by 2025"," as well as the mitigation measures included in Section II.ii"," may include...the Clean Development Mechanism of the Kyoto Protocol...""","Included in the target.","Not specified","Not Specified. ""Any use of internationally transferred mitigation outcomes within that framework will be included in Kenya's accounting"," consistent with the approach that will have been negotiated under the UNFCCC process.""","REDD+ and others","use of flexible mechanisms within the EU framework","GlobalScore"
"Mitigation","Assumed types and years of units to be applied","<ul> <li>""Clean Development Mechanism (CDM)</li> <li>Nationally Appropriate Mitigation Action (NAMA)""</li> </ul>",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Assumed types and years of units to be applied","Angola has already engaged with Clean Development Mechanism by submitting a number of important large scale projects.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Assumed types and years of units to be applied","CDM and other mechanisms under the UNFCCC process",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Assumed types and years of units to be applied","CDM or other climate market mechanisms",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Assumed types and years of units to be applied","Clean Development Mechanism, new market and non-market based mechanisms, and credited NAMAs.",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Assumed types and years of units to be applied","Not Applicable",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mitigation","Assumed types and years of units to be applied","Use of carbon credits with high environmental standards: Switzerland will use carbon credits from international mechanisms that deliver real, permanent, additional and verified mitigation outcomes and meet high environmental standards. Quality criteria which are at least in line with those of Switzerland's current national legislation will be applied. Switzerland intends to use the CDM. In this context, Switzerland supports the revision of its modalities and procedures to fit in the new climate regime. Switzerland also intends to use, as appropriate, the new market mechanisms under the Convention (NMM, activities under the FVA).",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Mitigation","Assumed types and years of units to be applied","""Clean Development Mechanism (CDM) and other market mechanisms """,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Mitigation","Assumed types and years of units to be applied","""Costa Rica intends to achieve the mitigation targets of this NDC, as well as the goal of being a net-zero emissions country by 2050 through domestic efforts to reduce gross emissions of greenhouse gases and maximize the potential for sequestration of greenhouse gases. natural sinks. The country will continue to participate in different forms of voluntary international cooperation, including under Article 6 of the Paris Agreement, as a complement to its domestic efforts to adapt and resilient decarbonization.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Mitigation","Assumed types and years of units to be applied","""The agreements govern the transfers of mitigation outcomes and their use and define the method for corresponding adjustment. Towards a multi-year target (2021-2030), the total sum of the mitigation outcomes first-transferred or used towards NDC achievement over that period will be reflected; towards a single year target (2030) the average thereof.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
"Mitigation","Assumed types and years of units to be applied","""The emission reductions generated by a market mechanism will not be used by the country to demonstrate compliance with the NDC-RD, unless the country that transfers technology with market mechanisms does not use them to demonstrate compliance with its own NDC.""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
"Mitigation","Assumed types and years of units to be applied","""The unconditional mitigation objectives in Uruguay's NDC by 2025, as well as the mitigation measures included in Section II.ii, may include...the Clean Development Mechanism of the Kyoto Protocol...""",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4
"Mitigation","Assumed types and years of units to be applied","Included in the target.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Mitigation","Assumed types and years of units to be applied","Not specified",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Mitigation","Assumed types and years of units to be applied","Not Specified. ""Any use of internationally transferred mitigation outcomes within that framework will be included in Kenya's accounting, consistent with the approach that will have been negotiated under the UNFCCC process.""",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
"Mitigation","Assumed types and years of units to be applied","REDD+ and others",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"Mitigation","Assumed types and years of units to be applied","use of flexible mechanisms within the EU framework",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
